Zur	APPRART.Dat.Sg.Fem	zu
Zeit	NN.Dat.Sg.Fem	Zeit
da	ADV	da
unser	PPOSAT.Nom.Sg.Masc	unser
Herr	NN.Nom.Sg.Masc	Herr
noch	ADV	noch
auf	APPR	auf
Erden	NN.Dat.Sg.Fem	Erde
ging	VVFIN.3.Sg.Past.Ind	gehen
,	$,	,
kehrte	VVFIN.3.Sg.Past.Ind	kehren
er	PPER.3.Nom.Sg.Masc	er
eines	ART.Gen.Sg.Masc	ein
Abends	NN.Gen.Sg.Masc	Abend
,	$,	,
sammt	VVFIN.3.Sg.Pres.Ind	sammen
Peter	NE.Nom.Sg.Masc	Peter
,	$,	,
bei	APPR	bei
einem	ART.Dat.Sg.Masc	ein
Schmied	NN.Dat.Sg.Masc	Schmied
ein	PTKVZ	ein
,	$,	,
und	KON	und
bekam	VVFIN.3.Sg.Past.Ind	bekommen
willig	ADJD.Pos	willig
Herberg	NE.Acc.Sg.*	Herberg
.	$.	.

