Zur	APPRART.Dat.Sg.Fem	zu
Zeit	NN.Dat.Sg.Fem	Zeit
,	$,	,
wo	PWAV	wo
das	ART.Nom.Sg.Neut	der
Wünschen	NN.Nom.Sg.Neut	Wünschen
noch	ADV	noch
geholfen	VVPP.Psp	helfen
hat	VAFIN.3.Sg.Pres.Ind	haben
,	$,	,
ward	VAFIN.3.Sg.Past.Ind	werden
ein	ART.Nom.Sg.Masc	ein
Prinz	NN.Nom.Sg.Masc	Prinz
von	APPR	von
einer	ART.Dat.Sg.Fem	ein
alten	ADJA.Pos.Dat.Sg.Fem	alt
Hexe	NN.Dat.Sg.Fem	Hexe
verwünscht	VVPP.Psp	verwünschen
,	$,	,
daß	KOUS	daß
er	PPER.3.Nom.Sg.Masc	er
im	APPRART.Dat.Sg.Masc	in
Walde	NN.Dat.Sg.Masc	Wald
in	APPR	in
einem	ART.Dat.Sg.Masc	ein
großen	ADJA.Pos.Dat.Sg.Masc	groß
Eisen-Ofen	NN.Dat.Sg.Masc	Eisen-Ofen
sitzen	VVINF.Inf	sitzen
sollte	VMFIN.3.Sg.Past.Ind	sollen
.	$.	.

